Array name	Sample name	Batch
614615111406.A01	614615111406.A01	614
614615111406.A02	614615111406.A02	614
614615111406.A03	614615111406.A03	614
614615111406.A04	614615111406.A04	614
614615111406.A05	614615111406.A05	614
614615111406.A07	614615111406.A07	615
614615111406.A08	614615111406.A08	615
614615111406.A09	614615111406.A09	615
614615111406.A10	614615111406.A10	615
614615111406.A11	614615111406.A11	615
614615111406.B01	614615111406.B01	614
614615111406.B02	614615111406.B02	614
614615111406.B03	614615111406.B03	614
614615111406.B04	614615111406.B04	614
614615111406.B07	614615111406.B07	615
614615111406.B08	614615111406.B08	615
614615111406.B09	614615111406.B09	615
614615111406.B10	614615111406.B10	615
614615111406.B12	614615111406.B12	615
614615111406.C01	614615111406.C01	614
614615111406.C02	614615111406.C02	614
614615111406.C03	614615111406.C03	614
614615111406.C04	614615111406.C04	614
614615111406.C05	614615111406.C05	614
614615111406.C06	614615111406.C06	614
614615111406.C07	614615111406.C07	615
614615111406.C08	614615111406.C08	615
614615111406.C09	614615111406.C09	615
614615111406.C10	614615111406.C10	615
614615111406.C12	614615111406.C12	615
614615111406.D02	614615111406.D02	614
614615111406.D03	614615111406.D03	614
614615111406.D05	614615111406.D05	614
614615111406.D06	614615111406.D06	614
614615111406.D07	614615111406.D07	615
614615111406.D08	614615111406.D08	615
614615111406.D11	614615111406.D11	615
614615111406.D12	614615111406.D12	615
614615111406.F01	614615111406.F01	614
614615111406.F02	614615111406.F02	614
614615111406.F03	614615111406.F03	614
614615111406.F04	614615111406.F04	614
614615111406.F05	614615111406.F05	614
614615111406.F06	614615111406.F06	614
614615111406.F07	614615111406.F07	615
614615111406.F08	614615111406.F08	615
614615111406.F09	614615111406.F09	615
614615111406.F10	614615111406.F10	615
614615111406.F11	614615111406.F11	615
614615111406.F12	614615111406.F12	615
614615111406.G01	614615111406.G01	614
614615111406.G03	614615111406.G03	614
614615111406.G04	614615111406.G04	614
614615111406.G05	614615111406.G05	614
614615111406.G06	614615111406.G06	614
614615111406.G07	614615111406.G07	615
614615111406.G09	614615111406.G09	615
614615111406.G10	614615111406.G10	615
614615111406.G11	614615111406.G11	615
614615111406.G12	614615111406.G12	615
614615111406.H02	614615111406.H02	614
614615111406.H03	614615111406.H03	614
614615111406.H04	614615111406.H04	614
614615111406.H05	614615111406.H05	614
614615111406.H06	614615111406.H06	614
614615111406.H08	614615111406.H08	615
614615111406.H09	614615111406.H09	615
614615111406.H10	614615111406.H10	615
614615111406.H11	614615111406.H11	615
614615111406.H12	614615111406.H12	615
622623112706.A01	622623112706.A01	622
622623112706.A02	622623112706.A02	622
622623112706.A03	622623112706.A03	622
622623112706.A05	622623112706.A05	622
622623112706.B01	622623112706.B01	622
622623112706.B02	622623112706.B02	622
622623112706.B03	622623112706.B03	622
622623112706.B04	622623112706.B04	622
622623112706.B06	622623112706.B06	622
622623112706.C01	622623112706.C01	622
622623112706.C02	622623112706.C02	622
622623112706.C03	622623112706.C03	622
622623112706.C05	622623112706.C05	622
622623112706.C06	622623112706.C06	622
622623112706.D01	622623112706.D01	622
622623112706.D02	622623112706.D02	622
622623112706.D03	622623112706.D03	622
622623112706.D05	622623112706.D05	622
622623112706.F01	622623112706.F01	622
622623112706.F02	622623112706.F02	622
622623112706.F03	622623112706.F03	622
622623112706.F04	622623112706.F04	622
622623112706.F05	622623112706.F05	622
622623112706.F06	622623112706.F06	622
622623112706.G01	622623112706.G01	622
622623112706.G03	622623112706.G03	622
622623112706.G04	622623112706.G04	622
622623112706.G05	622623112706.G05	622
622623112706.G06	622623112706.G06	622
622623112706.G07	622623112706.G07	623
622623112706.G09	622623112706.G09	623
622623112706.H02	622623112706.H02	622
622623112706.H03	622623112706.H03	622
622623112706.H04	622623112706.H04	622
622623112706.H05	622623112706.H05	622
622623112706.H06	622623112706.H06	622
622623112706.H08	622623112706.H08	623
622623112706.H09	622623112706.H09	623
622623112706.H10	622623112706.H10	623
622623112706.H11	622623112706.H11	623
622623112706.H12	622623112706.H12	623
5202764005789148112904.A01	5202764005789148112904.A01	513
5202764005789148112904.A02	5202764005789148112904.A02	513
5202764005789148112904.A03	5202764005789148112904.A03	513
5202764005789148112904.A04	5202764005789148112904.A04	513
5202764005789148112904.A05	5202764005789148112904.A05	513
5202764005789148112904.A08	5202764005789148112904.A08	514
5202764005789148112904.A10	5202764005789148112904.A10	514
5202764005789148112904.A11	5202764005789148112904.A11	514
5202764005789148112904.B01	5202764005789148112904.B01	513
5202764005789148112904.B02	5202764005789148112904.B02	513
5202764005789148112904.B03	5202764005789148112904.B03	513
5202764005789148112904.B04	5202764005789148112904.B04	513
5202764005789148112904.B06	5202764005789148112904.B06	513
5202764005789148112904.B07	5202764005789148112904.B07	514
5202764005789148112904.B10	5202764005789148112904.B10	514
5202764005789148112904.C02	5202764005789148112904.C02	513
5202764005789148112904.C03	5202764005789148112904.C03	513
5202764005789148112904.C04	5202764005789148112904.C04	513
5202764005789148112904.C05	5202764005789148112904.C05	513
5202764005789148112904.C06	5202764005789148112904.C06	513
5202764005789148112904.D02	5202764005789148112904.D02	513
5202764005789148112904.D03	5202764005789148112904.D03	513
5202764005789148112904.D05	5202764005789148112904.D05	513
5202764005789148112904.D06	5202764005789148112904.D06	513
5202764005789148112904.D07	5202764005789148112904.D07	514
5202764005789148112904.D08	5202764005789148112904.D08	514
5202764005789148112904.F01	5202764005789148112904.F01	513
5202764005789148112904.F03	5202764005789148112904.F03	513
5202764005789148112904.F04	5202764005789148112904.F04	513
5202764005789148112904.F05	5202764005789148112904.F05	513
5202764005789148112904.F06	5202764005789148112904.F06	513
5202764005789148112904.F09	5202764005789148112904.F09	514
5202764005789148112904.F10	5202764005789148112904.F10	514
5202764005789148112904.F11	5202764005789148112904.F11	514
5202764005789148112904.F12	5202764005789148112904.F12	514
5202764005789148112904.G03	5202764005789148112904.G03	513
5202764005789148112904.G04	5202764005789148112904.G04	513
5202764005789148112904.G05	5202764005789148112904.G05	513
5202764005789148112904.G06	5202764005789148112904.G06	513
5202764005789148112904.G07	5202764005789148112904.G07	514
5202764005789148112904.G11	5202764005789148112904.G11	514
5202764005789148112904.G12	5202764005789148112904.G12	514
5202764005789148112904.H02	5202764005789148112904.H02	513
5202764005789148112904.H03	5202764005789148112904.H03	513
5202764005789148112904.H04	5202764005789148112904.H04	513
5202764005789148112904.H05	5202764005789148112904.H05	513
5202764005789148112904.H06	5202764005789148112904.H06	513
5202764005789148112904.H08	5202764005789148112904.H08	514
5202764005789148112904.H10	5202764005789148112904.H10	514
5202764005790181113004.A01	5202764005790181113004.A01	504
5202764005790181113004.A02	5202764005790181113004.A02	504
5202764005790181113004.A04	5202764005790181113004.A04	504
5202764005790181113004.A05	5202764005790181113004.A05	504
5202764005790181113004.A07	5202764005790181113004.A07	505
5202764005790181113004.A08	5202764005790181113004.A08	505
5202764005790181113004.A09	5202764005790181113004.A09	505
5202764005790181113004.A10	5202764005790181113004.A10	505
5202764005790181113004.A11	5202764005790181113004.A11	505
5202764005790181113004.B01	5202764005790181113004.B01	504
5202764005790181113004.B02	5202764005790181113004.B02	504
5202764005790181113004.B04	5202764005790181113004.B04	504
5202764005790181113004.B06	5202764005790181113004.B06	504
5202764005790181113004.B07	5202764005790181113004.B07	505
5202764005790181113004.B08	5202764005790181113004.B08	505
5202764005790181113004.B09	5202764005790181113004.B09	505
5202764005790181113004.B10	5202764005790181113004.B10	505
5202764005790181113004.B12	5202764005790181113004.B12	505
5202764005790181113004.C04	5202764005790181113004.C04	504
5202764005790181113004.C05	5202764005790181113004.C05	504
5202764005790181113004.C06	5202764005790181113004.C06	504
5202764005790181113004.C08	5202764005790181113004.C08	505
5202764005790181113004.C09	5202764005790181113004.C09	505
5202764005790181113004.C10	5202764005790181113004.C10	505
5202764005790181113004.C11	5202764005790181113004.C11	505
5202764005790181113004.D05	5202764005790181113004.D05	504
5202764005790181113004.D06	5202764005790181113004.D06	504
5202764005790181113004.D08	5202764005790181113004.D08	505
5202764005790181113004.D09	5202764005790181113004.D09	505
5202764005790181113004.D11	5202764005790181113004.D11	505
5202764005790181113004.D12	5202764005790181113004.D12	505
5202764005790181113004.F02	5202764005790181113004.F02	504
5202764005790181113004.F03	5202764005790181113004.F03	504
5202764005790181113004.F04	5202764005790181113004.F04	504
5202764005790181113004.F05	5202764005790181113004.F05	504
5202764005790181113004.F06	5202764005790181113004.F06	504
5202764005790181113004.F08	5202764005790181113004.F08	505
5202764005790181113004.F09	5202764005790181113004.F09	505
5202764005790181113004.F12	5202764005790181113004.F12	505
5202764005790181113004.G03	5202764005790181113004.G03	504
5202764005790181113004.G04	5202764005790181113004.G04	504
5202764005790181113004.G05	5202764005790181113004.G05	504
5202764005790181113004.G06	5202764005790181113004.G06	504
5202764005790181113004.G09	5202764005790181113004.G09	505
5202764005790181113004.G11	5202764005790181113004.G11	505
5202764005790181113004.G12	5202764005790181113004.G12	505
5202764005790181113004.H02	5202764005790181113004.H02	504
5202764005790181113004.H03	5202764005790181113004.H03	504
5202764005790181113004.H05	5202764005790181113004.H05	504
5202764005790181113004.H08	5202764005790181113004.H08	505
5202764005790181113004.H09	5202764005790181113004.H09	505
